id,timezone_offset,type,unit,timestamp,start,end,value
,-28800,,stage,2023-11-15 09:48:32+00:00,2023-11-15 09:48:32+00:00,2023-11-15 09:53:32+00:00,2.0
,-28800,,stage,2023-11-15 09:53:32+00:00,2023-11-15 09:53:32+00:00,2023-11-15 09:58:32+00:00,2.0
,-28800,,stage,2023-11-15 09:58:32+00:00,2023-11-15 09:58:32+00:00,2023-11-15 10:03:32+00:00,2.0
,-28800,,stage,2023-11-15 10:03:32+00:00,2023-11-15 10:03:32+00:00,2023-11-15 10:08:32+00:00,1.0
,-28800,,stage,2023-11-15 10:08:32+00:00,2023-11-15 10:08:32+00:00,2023-11-15 10:13:32+00:00,2.0
,-28800,,stage,2023-11-15 10:13:32+00:00,2023-11-15 10:13:32+00:00,2023-11-15 10:18:32+00:00,2.0
,-28800,,stage,2023-11-15 10:18:32+00:00,2023-11-15 10:18:32+00:00,2023-11-15 10:23:32+00:00,2.0
,-28800,,stage,2023-11-15 10:23:32+00:00,2023-11-15 10:23:32+00:00,2023-11-15 10:28:32+00:00,1.0
,-28800,,stage,2023-11-15 10:28:32+00:00,2023-11-15 10:28:32+00:00,2023-11-15 10:33:32+00:00,1.0
,-28800,,stage,2023-11-15 10:33:32+00:00,2023-11-15 10:33:32+00:00,2023-11-15 10:38:32+00:00,1.0
,-28800,,stage,2023-11-15 10:38:32+00:00,2023-11-15 10:38:32+00:00,2023-11-15 10:43:32+00:00,1.0
,-28800,,stage,2023-11-15 10:43:32+00:00,2023-11-15 10:43:32+00:00,2023-11-15 10:48:32+00:00,2.0
,-28800,,stage,2023-11-15 10:48:32+00:00,2023-11-15 10:48:32+00:00,2023-11-15 10:53:32+00:00,2.0
,-28800,,stage,2023-11-15 10:53:32+00:00,2023-11-15 10:53:32+00:00,2023-11-15 10:58:32+00:00,2.0
,-28800,,stage,2023-11-15 10:58:32+00:00,2023-11-15 10:58:32+00:00,2023-11-15 11:03:32+00:00,2.0
,-28800,,stage,2023-11-15 11:03:32+00:00,2023-11-15 11:03:32+00:00,2023-11-15 11:08:32+00:00,4.0
,-28800,,stage,2023-11-15 11:08:32+00:00,2023-11-15 11:08:32+00:00,2023-11-15 11:13:32+00:00,3.0
,-28800,,stage,2023-11-15 11:13:32+00:00,2023-11-15 11:13:32+00:00,2023-11-15 11:18:32+00:00,3.0
,-28800,,stage,2023-11-15 11:18:32+00:00,2023-11-15 11:18:32+00:00,2023-11-15 11:23:32+00:00,3.0
,-28800,,stage,2023-11-15 11:23:32+00:00,2023-11-15 11:23:32+00:00,2023-11-15 11:28:32+00:00,3.0
,-28800,,stage,2023-11-15 11:28:32+00:00,2023-11-15 11:28:32+00:00,2023-11-15 11:33:32+00:00,2.0
,-28800,,stage,2023-11-15 11:33:32+00:00,2023-11-15 11:33:32+00:00,2023-11-15 11:38:32+00:00,2.0
,-28800,,stage,2023-11-15 11:38:32+00:00,2023-11-15 11:38:32+00:00,2023-11-15 11:43:32+00:00,2.0
,-28800,,stage,2023-11-15 11:43:32+00:00,2023-11-15 11:43:32+00:00,2023-11-15 11:48:32+00:00,2.0
,-28800,,stage,2023-11-15 11:48:32+00:00,2023-11-15 11:48:32+00:00,2023-11-15 11:53:32+00:00,2.0
